Order,Modapts,Start_Time,End_Time,Start_Frame,End_Frame
1,G1,0:00:00,0:00:05,1,3
2,M3,0:00:05,0:01:03,4,62
3,A2,0:01:03,0:01:06,63,64
4,X,0:01:06,0:02:05,65,123
5,R2,0:02:05,0:02:10,124,126
6,X,0:02:10,0:03:08,127,185
7,X,0:03:08,0:03:10,186,186
8,X,0:03:10,0:04:10,187,246
9,X,0:04:10,0:05:10,247,306
10,R2,0:05:10,0:05:13,307,308
11,M3,0:05:13,0:06:11,309,367
12,G1,0:06:11,0:06:13,368,368
13,M3,0:06:13,0:07:10,369,426
14,P2,0:07:10,0:07:11,427,427
15,M2,0:07:11,0:07:15,428,429
16,A2,0:07:15,0:08:11,430,487
17,M3,0:08:11,0:08:16,488,490
18,G1,0:08:16,0:09:16,491,550
19,M3,0:09:16,0:10:13,551,608
20,P2,0:10:13,0:10:15,609,609
21,A2,0:10:15,0:11:15,610,669
22,R2,0:11:15,0:11:18,670,671
23,X,0:11:18,0:11:21,672,673
24,M4,0:11:21,0:12:23,674,734
25,M2,0:12:23,0:13:20,735,792
26,G1,0:13:20,0:13:21,793,793
27,M4,0:13:21,0:13:26,794,796
28,R2,0:13:26,0:14:25,797,855
29,M2,0:14:25,0:14:26,856,856
30,M2,0:14:26,0:15:23,857,914
31,M4,0:15:23,0:15:26,915,916
32,G1,0:15:26,0:15:28,917,917
33,M4,0:15:28,0:16:25,918,975
34,P2,0:16:25,0:16:26,976,976
35,M2,0:16:26,0:16:30,977,978
36,A2,0:16:30,0:17:28,979,1037
37,M3,0:17:28,0:17:31,1038,1039
38,G1,0:17:31,0:18:30,1040,1098
39,M3,0:18:30,0:18:33,1099,1100
40,A2,0:18:33,0:19:31,1101,1159
41,R2,0:19:31,0:19:35,1160,1161
42,X,0:19:35,0:20:31,1162,1219
43,X,0:20:31,0:20:35,1220,1221
44,X,0:20:35,0:20:38,1222,1223
45,X,0:20:38,0:22:35,1224,1341
46,X,0:22:35,0:22:40,1342,1344
47,X,0:22:40,0:23:38,1345,1403
48,X,0:23:38,0:24:36,1404,1462
49,R2,0:24:36,0:24:40,1463,1464
50,M2,0:24:40,0:24:43,1465,1466
51,M2,0:24:43,0:25:40,1467,1524
52,M4,0:25:40,0:25:43,1525,1526
53,G1,0:25:43,0:25:45,1527,1527
54,M4,0:25:45,0:26:41,1528,1585
55,P2,0:26:41,0:26:43,1586,1586
56,M2,0:26:43,0:26:46,1587,1588
57,A2,0:26:46,0:27:43,1589,1646
58,M3,0:27:43,0:27:46,1647,1648
59,G1,0:27:46,0:28:43,1649,1706
60,M3,0:28:43,0:28:46,1707,1708
61,P2,0:28:46,0:28:48,1709,1709
62,A2,0:28:48,0:29:46,1710,1768
63,R2,0:29:46,0:29:51,1769,1771
64,X,0:29:51,0:30:48,1772,1829
65,M4,0:30:48,0:31:50,1830,1890
66,M2,0:31:50,0:31:53,1891,1892
67,G1,0:31:53,0:31:55,1893,1893
68,M4,0:31:55,0:32:53,1894,1952
69,R2,0:32:53,0:32:58,1953,1955
70,M2,0:32:58,0:33:55,1956,2013
71,M2,0:33:55,0:33:58,2014,2015
72,M4,0:33:58,0.023622685,2016,2017
73,G1,0.023622685,0:34:58,2018,2075
74,M4,0:34:58,0.02431713,2076,2077
75,P2,0.02431713,0.024340278,2078,2078
76,M2,0.024340278,0.025011574,2079,2137
77,A2,0.025011574,0.02505787,2138,2139
78,M3,0.02505787,0.025092593,2140,2141
79,G1,0.025092593,0.025763889,2142,2200
80,M3,0.025763889,0.025810185,2201,2202
81,P2,0.025810185,0.026446759,2203,2259
82,A2,0.026446759,0.026516204,2260,2263
83,R2,0.026516204,0.027199074,2264,2322
84,X,0.027199074,0.027233796,2323,2324
85,M4,0.027233796,0.027928241,2325,2384
86,M2,0.027928241,0.028587963,2385,2442
87,G1,0.028587963,0.028599537,2443,2443
88,M4,0.028599537,0.029282407,2444,2502
89,R2,0.029282407,0.02931713,2503,2504
90,M2,0.02931713,0.029988426,2505,2563
91,M2,0.029988426,0.030034722,2564,2565
92,M4,0.030034722,0.03068287,2566,2623
93,G1,0.03068287,0.030706019,2624,2624
94,M4,0.030706019,0.030740741,2625,2626
95,P2,0.030740741,0.030763889,2627,2627
96,X,0.030763889,0.031435185,2628,2686
97,M2,0.031435185,0.032118056,2687,2745
98,A2,0.032118056,0.032152778,2746,2747
99,M3,0.032152778,0.032824074,2748,2806
100,G1,0.032824074,0.03287037,2807,2808
101,M3,0.03287037,0.032905093,2809,2810
102,P2,0.032905093,0.033564815,2811,2868
103,A2,0.033564815,0.033622685,2869,2871
104,R2,0.033622685,0.034293981,2872,2930
105,X,0.034293981,0.034328704,2931,2932
106,M4,0.034328704,0.035023148,2933,2992
107,M2,0.035023148,0.035069444,2993,2994
108,G1,0.035069444,0.035717593,2995,3052
109,M4,0.035717593,0.035775463,3053,3055
110,G1,0.035775463,0.036435185,3056,3113
111,M2,0.036435185,0.036469907,3114,3115
112,M2,0.036469907,0.036516204,3116,3117
113,M4,0.036516204,0.037164352,3118,3175